policy,category,grid_i,grid_j,bias_p1,bias_p2,window_index,window_end_round,outcome,share
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,3,300000,Off diagonal,5.625000000009095e-06
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,3,300000,Residual,5.625000000009095e-06
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,4,400000,"(0,0)",0.999995625
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,4,400000,"(1,1)",0.0
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,4,400000,"(2,2)",0.0
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,4,400000,Off diagonal,4.374999999945395e-06
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,4,400000,Residual,4.374999999945395e-06
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,5,500000,"(0,0)",0.999998125
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,5,500000,"(1,1)",0.0
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,5,500000,"(2,2)",0.0
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,5,500000,Off diagonal,1.875000000040039e-06
epsilon_greedy,Slowest median attraction,49,1,2.0,-1.9183673469387752,5,500000,Residual,1.875000000040039e-06
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,1,100000,"(0,0)",0.994409375
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,1,100000,"(1,1)",4.3125e-05
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,1,100000,"(2,2)",3.25e-05
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,1,100000,Off diagonal,0.00551499999999996
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,1,100000,Residual,0.00559062499999996
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,2,200000,"(0,0)",0.999989375
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,2,200000,"(1,1)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,2,200000,"(2,2)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,2,200000,Off diagonal,1.0625000000041851e-05
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,2,200000,Residual,1.0625000000041851e-05
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,3,300000,"(0,0)",0.999994375
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,3,300000,"(1,1)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,3,300000,"(2,2)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,3,300000,Off diagonal,5.625000000009095e-06
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,3,300000,Residual,5.625000000009095e-06
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,4,400000,"(0,0)",0.999995625
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,4,400000,"(1,1)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,4,400000,"(2,2)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,4,400000,Off diagonal,4.374999999945395e-06
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,4,400000,Residual,4.374999999945395e-06
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,5,500000,"(0,0)",0.999998125
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,5,500000,"(1,1)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,5,500000,"(2,2)",0.0
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,5,500000,Off diagonal,1.875000000040039e-06
epsilon_greedy,Least terminally concentrated,49,2,2.0,-1.836734693877551,5,500000,Residual,1.875000000040039e-06
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,1,100000,"(0,0)",0.938135625
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,1,100000,"(1,1)",0.007776875
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,1,100000,"(2,2)",0.006868125
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,1,100000,Off diagonal,0.047219374999999966
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,1,100000,Residual,0.06186437499999997
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,2,200000,"(0,0)",0.97047375
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,2,200000,"(1,1)",0.001715625
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,2,200000,"(2,2)",0.000651875
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,2,200000,Off diagonal,0.027158749999999978
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,2,200000,Residual,0.029526249999999976
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,3,300000,"(0,0)",0.979383125
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,3,300000,"(1,1)",0.000765
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,3,300000,"(2,2)",0.00031625
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,3,300000,Off diagonal,0.01953562499999998
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,3,300000,Residual,0.02061687499999998
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,4,400000,"(0,0)",0.98476875
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,4,400000,"(1,1)",0.000406875
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,4,400000,"(2,2)",0.000164375
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,4,400000,Off diagonal,0.01466000000000003
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,4,400000,Residual,0.01523125000000003
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,5,500000,"(0,0)",0.988079375
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,5,500000,"(1,1)",0.000225625
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,5,500000,"(2,2)",0.000104375
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,5,500000,Off diagonal,0.011590625000000018
thompson,Near neutral,24,24,-0.010204081632653,-0.010204081632653,5,500000,Residual,0.011920625000000018
thompson,Strongly late-biased,49,49,0.5,0.5,1,100000,"(0,0)",0.940749375
thompson,Strongly late-biased,49,49,0.5,0.5,1,100000,"(1,1)",0.007716875
thompson,Strongly late-biased,49,49,0.5,0.5,1,100000,"(2,2)",0.006735625
thompson,Strongly late-biased,49,49,0.5,0.5,1,100000,Off diagonal,0.044798125
