policy,grid_i,grid_j,stage_k,fraction_estimated_contrast_positive,median_estimated_contrast,fraction_discrepancy_nonnegative,median_global_contrast,median_discrepancy
epsilon_greedy,0,27,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,27,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,28,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,28,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,29,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,29,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,30,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,30,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,31,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,31,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,32,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,32,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,33,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,33,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,34,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,34,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,35,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,35,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,36,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,36,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,37,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,37,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,38,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,38,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,39,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,39,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,40,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,40,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,41,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,41,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,42,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,42,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,43,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,43,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,44,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,44,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,45,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
