policy,bias_p1,bias_p2,equilibrium_id,equilibrium_name,convergence_time
epsilon_greedy,-1.5,-0.5,0,BI,54868
epsilon_greedy,-1.5,-0.3333333333333335,0,BI,40828
epsilon_greedy,-1.5,-0.16666666666666674,0,BI,54654
epsilon_greedy,-1.5,0.0,0,BI,48792
epsilon_greedy,-1.5,0.16666666666666652,0,BI,52324
epsilon_greedy,-1.5,0.33333333333333304,0,BI,64170
epsilon_greedy,-1.5,0.5,0,BI,75229
epsilon_greedy,-1.5,0.6666666666666665,0,BI,89043
epsilon_greedy,-1.5,0.833333333333333,0,BI,64199
epsilon_greedy,-1.5,1.0,0,BI,88930
epsilon_greedy,-1.5,1.1666666666666665,0,BI,89632
epsilon_greedy,-1.5,1.333333333333333,0,BI,99128
epsilon_greedy,-1.5,1.5,0,BI,96697
epsilon_greedy,-1.5,1.6666666666666665,0,BI,106355
epsilon_greedy,-1.5,1.833333333333333,0,BI,106311
epsilon_greedy,-1.5,2.0,0,BI,100873
epsilon_greedy,-1.3333333333333335,-2.0,0,BI,55508
epsilon_greedy,-1.3333333333333335,-1.8333333333333333,0,BI,42841
epsilon_greedy,-1.3333333333333335,-1.6666666666666667,0,BI,55774
epsilon_greedy,-1.3333333333333335,-1.5,0,BI,59512
epsilon_greedy,-1.3333333333333335,-1.3333333333333335,0,BI,43492
epsilon_greedy,-1.3333333333333335,-1.1666666666666667,0,BI,51093
epsilon_greedy,-1.3333333333333335,-1.0,0,BI,56590
epsilon_greedy,-1.3333333333333335,-0.8333333333333335,0,BI,48203
epsilon_greedy,-1.3333333333333335,-0.6666666666666667,0,BI,70508
epsilon_greedy,-1.3333333333333335,-0.5,0,BI,50703
epsilon_greedy,-1.3333333333333335,-0.3333333333333335,0,BI,42777
epsilon_greedy,-1.3333333333333335,-0.16666666666666674,0,BI,57328
epsilon_greedy,-1.3333333333333335,0.0,0,BI,49069
epsilon_greedy,-1.3333333333333335,0.16666666666666652,2,Coop,-1
epsilon_greedy,-1.3333333333333335,0.33333333333333304,2,Coop,-1
epsilon_greedy,-1.3333333333333335,0.5,0,BI,70552
epsilon_greedy,-1.3333333333333335,0.6666666666666665,0,BI,77841
epsilon_greedy,-1.3333333333333335,0.833333333333333,0,BI,72433
epsilon_greedy,-1.3333333333333335,1.0,0,BI,85325
epsilon_greedy,-1.3333333333333335,1.1666666666666665,0,BI,85693
epsilon_greedy,-1.3333333333333335,1.333333333333333,0,BI,91732
epsilon_greedy,-1.3333333333333335,1.5,3,Mixed,-1
epsilon_greedy,-1.3333333333333335,1.6666666666666665,0,BI,93932
epsilon_greedy,-1.3333333333333335,1.833333333333333,0,BI,107683
epsilon_greedy,-1.3333333333333335,2.0,0,BI,114205
epsilon_greedy,-1.1666666666666667,-2.0,0,BI,39667
epsilon_greedy,-1.1666666666666667,-1.8333333333333333,0,BI,42966
epsilon_greedy,-1.1666666666666667,-1.6666666666666667,0,BI,53862
epsilon_greedy,-1.1666666666666667,-1.5,0,BI,78895
epsilon_greedy,-1.1666666666666667,-1.3333333333333335,0,BI,57155
epsilon_greedy,-1.1666666666666667,-1.1666666666666667,0,BI,54885
epsilon_greedy,-1.1666666666666667,-1.0,0,BI,44203
epsilon_greedy,-1.1666666666666667,-0.8333333333333335,0,BI,48223
epsilon_greedy,-1.1666666666666667,-0.6666666666666667,0,BI,67359
epsilon_greedy,-1.1666666666666667,-0.5,0,BI,35995
epsilon_greedy,-1.1666666666666667,-0.3333333333333335,0,BI,46460
epsilon_greedy,-1.1666666666666667,-0.16666666666666674,0,BI,58167
epsilon_greedy,-1.1666666666666667,0.0,0,BI,44635
epsilon_greedy,-1.1666666666666667,0.16666666666666652,0,BI,60096
epsilon_greedy,-1.1666666666666667,0.33333333333333304,0,BI,60341
epsilon_greedy,-1.1666666666666667,0.5,0,BI,60112
epsilon_greedy,-1.1666666666666667,0.6666666666666665,0,BI,54811
epsilon_greedy,-1.1666666666666667,0.833333333333333,0,BI,76398
epsilon_greedy,-1.1666666666666667,1.0,0,BI,74056
